product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
pf282,Baskin Robbins Cotton Candy ice Cream 50,,169,,,,Packaged Foods,Confectionary,Candy,Baskin Robbins Cotton Candy ice Cream 50,,,pf282.jpg,,Baskin,1
pf283,Sugar Candy 50gm,,22,,,,Packaged Foods,Confectionary,Candy,Sugar Candy 50gm,,,pf283.jpg,,Sugar,1
pf284,Disney zaini gelees Alla Frutta Jelly Candy,,395,,,,Packaged Foods,Confectionary,Candy,Disney zaini gelees Alla Frutta Jelly Candy,,,pf284.jpg,,Disney,1
pf285,Mentos Orange flavour Candy 31.2gm Pack,,9,,,,Packaged Foods,Confectionary,Candy,Mentos Orange flavour Candy 31.2gm Pack,,,pf285.jpg,,Mentos,1
pf286,Mentos Mink flavour Candy 31.2gm Pack,,9,,,,Packaged Foods,Confectionary,Candy,Mentos Mink flavour Candy 31.2gm Pack,,,pf286.jpg,,Mentos,1
pf287,Parie Mazelo Flavoured Candy 346gm Pouch,,50,,,,Packaged Foods,Confectionary,Candy,Parie Mazelo Flavoured Candy 346gm Pouch,,,pf287.jpg,,Parie,1
pf288,Lotte Chocopie Pack Of 2 X Rs. 10,,20,,,,Packaged Foods,Confectionary,Chocolates,Lotte Chocopie Pack Of 2 X Rs. 10,,,pf288.jpg,,Lotte,1
pf289,"Kitkat Chocolate 2 Finger, PackOf 40 X Rs. 15",,600,,,,Packaged Foods,Confectionary,Chocolates,"Kitkat Chocolate 2 Finger, PackOf 40 X Rs. 15",,,pf289.jpg,,nestle,1
pf290,"Kitkat Chocolate 4 Finger, PackOf 18 X Rs. 25",,450,,,,Packaged Foods,Confectionary,Chocolates,"Kitkat Chocolate 4 Finger, PackOf 18 X Rs. 25",,,pf290.jpg,,nestle,1
pf291,"Kinder Joy Chocolate Girls, Pack of 16 - 35Rs MRP each",,560,,,,Packaged Foods,Confectionary,Chocolates,"Kinder Joy Chocolate Girls, Pack of 16 - 35Rs MRP each",,,pf291.jpg,,nestle,1
pf292,"Kinder Joy Chocolate Girls, Pack of 24 - 35Rs MRP each",,840,,,,Packaged Foods,Confectionary,Chocolates,"Kinder Joy Chocolate Girls, Pack of 24 - 35Rs MRP each",,,pf292.jpg,,nestle,1
pf293,"Kinder Joy Chocolate Girls, Pack of 8 - 35Rs MRP each",,280,,,,Packaged Foods,Confectionary,Chocolates,"Kinder Joy Chocolate Girls, Pack of 8 - 35Rs MRP each",,,pf293.jpg,,nestle,1
pf294,"Galaxy Chocolate Milk, Pack Of 24 X Rs. 15",,432,,,,Packaged Foods,Confectionary,Chocolates,"Galaxy Chocolate Milk, Pack Of 24 X Rs. 15",,,pf294.jpg,,Galaxy,1
pf295,Orion Chocopie 124 g,,50,,,,Packaged Foods,Confectionary,Chocolates,Orion Chocopie 124 g,,,pf295.jpg,,Orion ,1
pf296,Cadbury Perk Pack Of 28 U,,280,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Perk Pack Of 28 U,,,pf296.jpg,,Cadbury,1
pf297,Nestle Alpino Pack Of 16 U,,480,,,,Packaged Foods,Confectionary,Chocolates,Nestle Alpino Pack Of 16 U,,,pf297.jpg,,Nestle,1
pf298,"Bounty Chocolate Bagged Minis, 270 g",,199,,,,Packaged Foods,Confectionary,Chocolates,"Bounty Chocolate Bagged Minis, 270 g",,,pf298.jpg,,Bounty,1
pf205,"Bambino Soup Sweetcorn, 50 g",,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,"Bambino Soup Sweetcorn, 50 g",,,pf205.jpg,,Bambino,1
pf206,"Bambino Soup Tomato, 60 g",,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,"Bambino Soup Tomato, 60 g",,,pf206.jpg,,Bambino,1
pf207,Poonjiaji'S Moong Dal Halwa 300 g,,111,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Poonjiaji'S Moong Dal Halwa 300 g,,,pf207.jpg,,Poonjiajis,1
pf208,Poonjiaji'S Dal Tadka 280 g,,89,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Poonjiaji'S Dal Tadka 280 g,,,pf208.jpg,,Poonjiajis,1
pf209,Poonjiaji's Sev Poori 395 g,,75,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Poonjiaji's Sev Poori 395 g,,,pf209.jpg,,Poonjiajis,1
pf210,Poonjiaji's Bhel Poori 440 g,,75,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Poonjiaji's Bhel Poori 440 g,,,pf210.jpg,,Poonjiajis,1
pf211,Poonjiaji's Pani Poori 280 g,,100,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Poonjiaji's Pani Poori 280 g,,,pf211.jpg,,Poonjiajis,1
pf212,"Knorr Soup Instant Tomato, 18 g",,10,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,"Knorr Soup Instant Tomato, 18 g",,,pf212.jpg,,Knorr,1
pf213,Chings Sweet Corn Veg Instant Soup 15 gm Pouch,,10,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Sweet Corn Veg Instant Soup 15 gm Pouch,,,pf213.jpg,,Chings,1
pf214,Chings Hot and Sour Instant Soup 60 gm Pouch,,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Hot and Sour Instant Soup 60 gm Pouch,,,pf214.jpg,,Chings,1
pf215,Chings Hot and Sour Instant Soup 30 gm Pouch,,25,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Hot and Sour Instant Soup 30 gm Pouch,,,pf215.jpg,,Chings,1
pf216,Batchelors Cup a Soup Golden Vegetable 82 gm Carton,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Cup a Soup Golden Vegetable 82 gm Carton,,,pf216.jpg,,Bachelors ,1
pf217,Batchelors Slim a Soup Golden Vegetable 51 gm Carton,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Slim a Soup Golden Vegetable 51 gm Carton,,,pf217.jpg,,Bachelors ,1
pf218,Ching Secret Sweet Corn Veg Soup 60 gm Pouch,,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Ching Secret Sweet Corn Veg Soup 60 gm Pouch,,,pf218.jpg,,Chings,1
pf219,Chings Manchow Instant Soup 60 gm Pouch,,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Manchow Instant Soup 60 gm Pouch,,,pf219.jpg,,Chings,1
pf220,Chings Mix Veg Instant Soup 30 gm Pouch,,42,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Mix Veg Instant Soup 30 gm Pouch,,,pf220.jpg,,Chings,1
pf221,Chings Secret Hot and Sour Instant Soup 30 gm Pouch,,25,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Hot and Sour Instant Soup 30 gm Pouch,,,pf221.jpg,,Chings,1
pf222,Chings Secret Manchow Soup 30 gm Pouch,,25,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Manchow Soup 30 gm Pouch,,,pf222.jpg,,Chings,1
pf223,Chings Secret Mix Veg Soup 30 gm Pouch,,42,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Mix Veg Soup 30 gm Pouch,,,pf223.jpg,,Chings,1
pf224,Chings Secret Mixed Veg Soup 60 gm Pouch,,45,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Mixed Veg Soup 60 gm Pouch,,,pf224.jpg,,Chings,1
pf225,Chings Secret Sweet Corn Veg Instant Soup 49 gm Pouch,,36,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Sweet Corn Veg Instant Soup 49 gm Pouch,,,pf225.jpg,,Chings,1
pf226,Chings Secret Schezchow Instant Noodles Soup 40 gm Pouch,,25,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Chings Secret Schezchow Instant Noodles Soup 40 gm Pouch,,,pf226.jpg,,Chings,1
pf227,Batchelors Cup a Soup Cream of Asparagus 117 gm Carton,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Cup a Soup Cream of Asparagus 117 gm Carton,,,pf227.jpg,,Bachelors ,1
pf228,Batchelors Cup a Soup Tomato and Basil 104 gm Carton,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Cup a Soup Tomato and Basil 104 gm Carton,,,pf228.jpg,,Bachelors ,1
pf229,Batchelors Cup A Soup Broccoli and Cauliflower 101 gm Pack,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Cup A Soup Broccoli and Cauliflower 101 gm Pack,,,pf229.jpg,,Bachelors ,1
pf230,Batchelors Cup A Soup Tomato 93 gm Carton,,199,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Batchelors Cup A Soup Tomato 93 gm Carton,,,pf230.jpg,,Bachelors ,1
pf231,Keya Cup a Soup Instant Creamy Spinach 68 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup a Soup Instant Creamy Spinach 68 gm Carton,,,pf231.jpg,,Keya,1
pf232,Keya Cup a Soup Instant Creamy Tomato 68 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup a Soup Instant Creamy Tomato 68 gm Carton,,,pf232.jpg,,Keya,1
pf233,Keya Cup a Soup Instant Sweet Corn Vegetable 68 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup a Soup Instant Sweet Corn Vegetable 68 gm Carton,,,pf233.jpg,,Keya,1
pf234,Keya Cup a Soup Creamy Chicken 60 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup a Soup Creamy Chicken 60 gm Carton,,,pf234.jpg,,Keya,1
pf235,Keya Cup a Soup Creamy Mushroom 56 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup a Soup Creamy Mushroom 56 gm Carton,,,pf235.jpg,,Keya,1
pf236,Keya Cup A Soup Creamy spinach 68 gm Carton,,90,,,,Packaged Foods,Dry Foods,Soapmixes&Other mixes,Keya Cup A Soup Creamy spinach 68 gm Carton,,,pf236.jpg,,Keya,1
pf237,"Lotte Eclair Coffe Bite Stick, Pack Of 10 X Rs. 30",,150,,,,Packaged Foods,Confectionary,Candy,"Lotte Eclair Coffe Bite Stick, Pack Of 10 X Rs. 30",,,pf237.jpg,,Lotte €clair,1
pf238,"Lotte Eclair Coffe Bite Jar, Pack Of 200 X Re. 1",,200,,,,Packaged Foods,Confectionary,Candy,"Lotte Eclair Coffe Bite Jar, Pack Of 200 X Re. 1",,,pf238.jpg,,Lotte €clair,1
pf239,Alpenliebe Justjelly Guava Jar,,150,,,,Packaged Foods,Confectionary,Candy,Alpenliebe Justjelly Guava Jar,,,pf239.jpg,,Alpenliebe,1
pf240,"Alpenliebe Candy Mangofillz, Pack of 1400 U",,750,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Candy Mangofillz, Pack of 1400 U",,,pf240.jpg,,Alpenliebe,1
pf241,"Dukes Lollipop Rolli Polli, Jar of 100 U",,220,,,,Packaged Foods,Confectionary,Candy,"Dukes Lollipop Rolli Polli, Jar of 100 U",,,pf241.jpg,,Dukes,1
pf242,"Alpenliebe Just Jelly Strawberry, Pack Of 500 X Re. 1",,500,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Just Jelly Strawberry, Pack Of 500 X Re. 1",,,pf242.jpg,,Alpenliebe,1
pf243,Alpenliebe Just Jelly Pack Of 12 U,,240,,,,Packaged Foods,Confectionary,Candy,Alpenliebe Just Jelly Pack Of 12 U,,,pf243.jpg,,Alpenliebe,1
pf244,"Alpenliebe Creamfills Jar, Pack Of 100 U",,150,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Creamfills Jar, Pack Of 100 U",,,pf244.jpg,,Alpenliebe,1
pf245,"Solano Candy Pouch, 50 U",,50,,,,Packaged Foods,Confectionary,Candy,"Solano Candy Pouch, 50 U",,,pf245.jpg,,Solano ,1
pf246,Jolly Rancher Lollipop Pack Of 30 X Rs. 5,,150,,,,Packaged Foods,Confectionary,Candy,Jolly Rancher Lollipop Pack Of 30 X Rs. 5,,,pf246.jpg,,Jolly,1
pf247,Jolly Rancher Lollipop Pack Of 5 X Rs. 5,,25,,,,Packaged Foods,Confectionary,Candy,Jolly Rancher Lollipop Pack Of 5 X Rs. 5,,,pf247.jpg,,Jolly,1
pf248,Nutrine Lollipop Pack Of 75 X Rs. 2,,150,,,,Packaged Foods,Confectionary,Candy,Nutrine Lollipop Pack Of 75 X Rs. 2,,,pf248.jpg,,Nutrine ,1
pf711,"Kwality Sauce Soya, 200 g",,32,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Soya, 200 g",,,pf711.jpg,,Kwality,1
pf712,"Kwality Sauce Chilli, 5 Kg",,250,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Chilli, 5 Kg",,,pf712.jpg,,Kwality,1
pf713,"Kwality Sauce Chilli, 180 g",,32,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Chilli, 180 g",,,pf713.jpg,,Kwality,1
pf714,Del Monte Food Craft Mayonnaise 1 Kg,,155,,,,Packaged Foods,Processed Food,Vinegar & Condimants,Del Monte Food Craft Mayonnaise 1 Kg,,,pf714.jpg,,Del Monte,1
pf715,"Surabhi Vinegar Plain, 670 ml",,29,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Vinegar Plain, 670 ml",,,pf715.jpg,,Surabhi,1
pf716,"Surabhi Vinegar Plain, 200 ml",,21,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Vinegar Plain, 200 ml",,,pf716.jpg,,Surabhi,1
pf717,"Surabhi Sauce Green Chilli, 690 g",,57,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Green Chilli, 690 g",,,pf717.jpg,,Surabhi,1
pf718,"Surabhi Sauce Soya, 700 g",,57,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Soya, 700 g",,,pf718.jpg,,Surabhi,1
pf719,"Surabhi Sauce Red Chilli, 200 g",,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Red Chilli, 200 g",,,pf719.jpg,,Surabhi,1
pf720,"Surabhi Sauce Green Chilli, 200 g",,48,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Green Chilli, 200 g",,,pf720.jpg,,Surabhi,1
pf721,"Surabhi Sauce Soya, 200 g",,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Soya, 200 g",,,pf721.jpg,,Surabhi,1
pf722,"Surabhi Sauce Schezwan, 300 g",,66,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Schezwan, 300 g",,,pf722.jpg,,Surabhi,1
pf723,"Surabhi Sauce Hot N Sweet, 200 g",,48,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Surabhi Sauce Hot N Sweet, 200 g",,,pf723.jpg,,Surabhi,1
pf724,"Hillers Vinegar Synthetic, 700 g",,40,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Hillers Vinegar Synthetic, 700 g",,,pf724.jpg,,Hillers,1
pf725,"Del Monte Sauce Schezwan, 190 g",,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Del Monte Sauce Schezwan, 190 g",,,pf725.jpg,,Del Monte,1
pf726,"Del Monte Sauce Red Chilli, 190 g",,40,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Del Monte Sauce Red Chilli, 190 g",,,pf726.jpg,,Del Monte,1
pf727,"Kwality Sauce Tomato, 1 Kg",,110,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Tomato, 1 Kg",,,pf727.jpg,,Kwality,1
pf728,"Kwality Sauce Chilli, 700 g",,52,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Chilli, 700 g",,,pf728.jpg,,Kwality,1
pf729,"Kwality Sauce Tomato, 200 g",,32,,,,Packaged Foods,Processed Food,Vinegar & Condimants,"Kwality Sauce Tomato, 200 g",,,pf729.jpg,,Kwality,1
pf730,Chings Chilli Vinegar 170 ml Bottle,,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,Chings Chilli Vinegar 170 ml Bottle,,,pf730.jpg,,Chings,1
pf731,Home Chef Sweet Chilli Sauce 300 ml Bottle,,179,,,,Packaged Foods,Processed Food,Vinegar & Condimants,Home Chef Sweet Chilli Sauce 300 ml Bottle,,,pf731.jpg,,Homme Chef,1
pf732,American Garden Traditional Pasta Sauce 680 gm Jar,,350,,,,Packaged Foods,Processed Food,Vinegar & Condimants,American Garden Traditional Pasta Sauce 680 gm Jar,,,pf732.jpg,,American,1
pf733,American Garden Traditional Pasta Sauce 397 gm Jar,,225,,,,Packaged Foods,Processed Food,Vinegar & Condimants,American Garden Traditional Pasta Sauce 397 gm Jar,,,pf733.jpg,,American,1
pf734,Chings Dark Soy Sauce 200 Gm Bottle ,,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,Chings Dark Soy Sauce 200 Gm Bottle ,,,pf734.jpg,,chings,1
pf735,Chings Green Chilli Sauce 190 ml Bottle,,45,,,,Packaged Foods,Processed Food,Vinegar & Condimants,Chings Green Chilli Sauce 190 ml Bottle,,,pf735.jpg,,Chings,1
pf736,"Kurkure Naughty Tomato, 120 g",,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Kurkure Naughty Tomato, 120 g",,,pf736.jpg,,Kurkure,1
pf737,"Kurkure Masala Small, Pack Of 15 U",,75,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Kurkure Masala Small, Pack Of 15 U",,,pf737.jpg,,Kurkure,1
pf738,"Kurkure Masala Munch, Medium",,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Kurkure Masala Munch, Medium",,,pf738.jpg,,Kurkure,1
pf739,"Kurkure Masala Munch, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Kurkure Masala Munch, Large",,,pf739.jpg,,Kurkure,1
pf740,"Bingo Tangles Tomato, 100 g",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Bingo Tangles Tomato, 100 g",,,pf740.jpg,,Bingo,1
pf741,"Bingo Mad Angles Chili Dhamaka, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Bingo Mad Angles Chili Dhamaka, Large",,,pf741.jpg,,Bingo,1
pf742,"Bingo Mad Angles Achari Masti, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Bingo Mad Angles Achari Masti, Large",,,pf742.jpg,,Bingo,1
pf743,"Kurkure Masala Munch, Pack Of 13 X 12 g",,39,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Kurkure Masala Munch, Pack Of 13 X 12 g",,,pf743.jpg,,Kurkure,1
pf744,Lays Potato Chips Indias Magic Masala 95 g,,35,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Lays Potato Chips Indias Magic Masala 95 g,,,pf744.jpg,,Lays,1
pf745,Salsalito Tortilla Chips Mexican Chilli,,30,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Salsalito Tortilla Chips Mexican Chilli,,,pf745.jpg,,Salsalito,1
pf746,Bingo Yummitos Salt Sprinkled 35 gm Pouch,,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Bingo Yummitos Salt Sprinkled 35 gm Pouch,,,pf746.jpg,,Bingo,1
pf747,lays West Indies Hot and Sweet Chilli 28,,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,lays West Indies Hot and Sweet Chilli 28,,,pf747.jpg,,Lays,1
pf748,Cornitos Nacho Crisps Sizzlin Jalapeno 1..,,85,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Cornitos Nacho Crisps Sizzlin Jalapeno 1..,,,pf748.jpg,,Cornitos,1
pf749,Lays Spanish Tomatom Tango 55gm Pouch,,90,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Lays Spanish Tomatom Tango 55gm Pouch,,,pf749.jpg,,Lays,1
pf750,Lays American Style Cream and Onion Flavour,,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Lays American Style Cream and Onion Flavour,,,pf750.jpg,,Lays,1
